"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3342","get started link","firefox","Fri Aug 23 17:52:13 CEST 2024","passed","Fri Aug 23 17:52:17 CEST 2024","","example.spec.ts","",""
"","6072","Verify the number of blog posts and the length of the blog post titles to be above 10 char","webkit","Fri Aug 23 17:53:23 CEST 2024","passed","Fri Aug 23 17:53:29 CEST 2024","Blog page","blog.spec.ts","",""
"","2","About page","firefox","Fri Aug 23 17:52:43 CEST 2024","skipped","Fri Aug 23 17:52:43 CEST 2024","","home.spec.ts","",""
"","5749","Verify search icon is visible using XPath","firefox","Fri Aug 23 17:52:37 CEST 2024","passed","Fri Aug 23 17:52:42 CEST 2024","Home","home.spec.ts","",""
"","9262","Access Downloads","chromium","Tue Aug 27 12:13:54 CEST 2024","passed","Tue Aug 27 12:14:03 CEST 2024","My account","account.spec.ts","",""
"","6056","Verify search icon is visible using XPath","webkit","Fri Aug 23 17:53:46 CEST 2024","passed","Fri Aug 23 17:53:52 CEST 2024","Home","home.spec.ts","",""
"","6705","Open HomePage and verify title","firefox","Fri Aug 23 17:52:17 CEST 2024","passed","Fri Aug 23 17:52:23 CEST 2024","Home","home.spec.ts","",""
"","6446","Verify login and register is visible","chromium","Tue Aug 27 12:14:03 CEST 2024","passed","Tue Aug 27 12:14:10 CEST 2024","Account Page","account.spec.ts","",""
"","5782","Open HomePage and verify title","webkit","Fri Aug 23 17:53:34 CEST 2024","passed","Fri Aug 23 17:53:40 CEST 2024","Home","home.spec.ts","",""
"","5750","Verify login and register is visible","webkit","Fri Aug 23 17:53:20 CEST 2024","passed","Fri Aug 23 17:53:26 CEST 2024","Account Page","account.spec.ts","",""
"","10982","Upload a file named book.png","firefox","Fri Aug 23 17:52:43 CEST 2024","failed","Fri Aug 23 17:52:54 CEST 2024","Upload a file on Cart page","upload_file.spec.ts","",""
"","7876","Access Orders","webkit","Fri Aug 23 17:53:07 CEST 2024","passed","Fri Aug 23 17:53:15 CEST 2024","My account","account.spec.ts","",""
"","8053","Access Downloads","webkit","Fri Aug 23 17:53:15 CEST 2024","passed","Fri Aug 23 17:53:23 CEST 2024","My account","account.spec.ts","",""
"","1","Upload a file","webkit","Fri Aug 23 17:54:02 CEST 2024","skipped","Fri Aug 23 17:54:02 CEST 2024","Upload a file on Cart page","upload_file.spec.ts","",""
"","7426","Verify the text for all primary nav links","chromium","Tue Aug 27 12:14:40 CEST 2024","passed","Tue Aug 27 12:14:48 CEST 2024","Home","home.spec.ts","",""
"","18426","Upload a large file","firefox","Fri Aug 23 17:52:58 CEST 2024","failed","Fri Aug 23 17:53:17 CEST 2024","Upload a large file on Cart page","wait_command.spec.ts","",""
"","5675","Open HomePage and verify title","chromium","Tue Aug 27 12:14:17 CEST 2024","passed","Tue Aug 27 12:14:22 CEST 2024","Home","home.spec.ts","",""
"","9830","Upload a file named book.png","webkit","Fri Aug 23 17:53:52 CEST 2024","failed","Fri Aug 23 17:54:01 CEST 2024","Upload a file on Cart page","upload_file.spec.ts","",""
"","0","About page","webkit","Fri Aug 23 17:53:52 CEST 2024","skipped","Fri Aug 23 17:53:52 CEST 2024","","home.spec.ts","",""
"","2483","get started link","webkit","Fri Aug 23 17:53:31 CEST 2024","passed","Fri Aug 23 17:53:34 CEST 2024","","example.spec.ts","",""
"","19","Upload a file","chromium","Tue Aug 27 12:14:51 CEST 2024","skipped","Tue Aug 27 12:14:51 CEST 2024","Upload a file on Cart page","upload_file.spec.ts","",""
"","9474","Open contact page, fill and submit the ""Send Us Message"" form","webkit","Fri Aug 23 17:53:32 CEST 2024","passed","Fri Aug 23 17:53:42 CEST 2024","Contact page","contact.spec.ts","",""
"","13212","Open contact page, fill and submit the ""Send Us Message"" form","chromium","Tue Aug 27 12:14:21 CEST 2024","passed","Tue Aug 27 12:14:34 CEST 2024","Contact page","contact.spec.ts","",""
"","6019","Verify the text for all primary nav links","webkit","Fri Aug 23 17:53:48 CEST 2024","passed","Fri Aug 23 17:53:54 CEST 2024","Home","home.spec.ts","",""
"","10844","Access Orders","firefox","Fri Aug 23 17:51:45 CEST 2024","passed","Fri Aug 23 17:51:56 CEST 2024","My account","account.spec.ts","",""
"","2768","has title","chromium","Tue Aug 27 12:14:11 CEST 2024","passed","Tue Aug 27 12:14:14 CEST 2024","","example.spec.ts","",""
"","2020","has title","webkit","Fri Aug 23 17:53:29 CEST 2024","passed","Fri Aug 23 17:53:31 CEST 2024","","example.spec.ts","",""
"","9531","Open contact page, fill and submit the ""Send Us Message"" form","firefox","Fri Aug 23 17:52:20 CEST 2024","passed","Fri Aug 23 17:52:30 CEST 2024","Contact page","contact.spec.ts","",""
"","19265","Click on ""Get started"" using the CSS selector","firefox","Fri Aug 23 17:52:23 CEST 2024","passed","Fri Aug 23 17:52:43 CEST 2024","Home","home.spec.ts","",""
"","6322","Verify the number of blog posts and the length of the blog post titles to be above 10 char","firefox","Fri Aug 23 17:52:04 CEST 2024","passed","Fri Aug 23 17:52:11 CEST 2024","Blog page","blog.spec.ts","",""
"","6070","Verify the number of blog posts and the length of the blog post titles to be above 10 char","chromium","Tue Aug 27 12:14:05 CEST 2024","passed","Tue Aug 27 12:14:11 CEST 2024","Blog page","blog.spec.ts","",""
"","9046","Upload a large file","chromium","Tue Aug 27 12:14:51 CEST 2024","passed","Tue Aug 27 12:15:00 CEST 2024","Upload a large file on Cart page","wait_command.spec.ts","",""
"","6013","Locate heading text is visible ""Think different."" using the text selector","webkit","Fri Aug 23 17:53:42 CEST 2024","passed","Fri Aug 23 17:53:48 CEST 2024","Home","home.spec.ts","",""
"","12076","Upload a file named large_file.pdf","firefox","Fri Aug 23 17:52:51 CEST 2024","failed","Fri Aug 23 17:53:03 CEST 2024","Upload a file on Cart page","upload_file.spec.ts","",""
